Date,Transaction ID,Description,Type,Amount (₹),Balance (₹)
01-Apr-26,6629104421,OPENING BALANCE,-,-,"84,500.00"
01-Apr-26,UPI/610223/CUST,UPI/Paytm/Customer_A,Credit,450,"84,950.00"
02-Apr-26,CHQ/100421/SUPP,Payout: Hindustan Unilever Ltd (Stock),Debit,"12,400.00","72,550.00"
02-Apr-26,UPI/610255/CUST,UPI/PhonePe/Customer_B,Credit,"1,200.00","73,750.00"
03-Apr-26,IMPS/655021/RENT,Shop Rent - April (Kiran Property),Debit,"25,000.00","48,750.00"
03-Apr-26,UPI/610289/CUST,UPI/GPay/Customer_C,Credit,210,"48,960.00"
04-Apr-26,UPI/610312/GHRS,GharSe Payout: Order_GS_992,Credit,580,"49,540.00"
04-Apr-26,UPI/610344/CUST,UPI/Paytm/Customer_D,Credit,85,"49,625.00"
05-Apr-26,CASH/DEP/001,Cash Deposit: Daily Sales,Credit,"8,500.00","58,125.00"
06-Apr-26,NFT/ITC/44102,Payout: ITC Wholesale Distribution,Debit,"8,200.00","49,925.00"
07-Apr-26,UPI/610401/CUST,UPI/PhonePe/Customer_E,Credit,"2,150.00","52,075.00"
08-Apr-26,UPI/610422/GHRS,GharSe Payout: Order_GS_1012,Credit,"1,120.00","53,195.00"
10-Apr-26,BILL/MSEB/202,Electricity Bill - MSEB,Debit,"3,450.00","49,745.00"
11-Apr-26,UPI/610488/CUST,UPI/GPay/Customer_F,Credit,320,"50,065.00"
12-Apr-26,CASH/WD/SELF,Self Withdrawal: Personal Expense,Debit,"5,000.00","45,065.00"
13-Apr-26,UPI/610512/GHRS,GharSe Payout: Order_GS_1045,Credit,440,"45,505.00"
14-Apr-26,IMPS/AMUL/99,Amul Dairy Daily Payout,Debit,"2,100.00","43,405.00"
15-Apr-26,UPI/610588/CUST,UPI/Paytm/Customer_G,Credit,"1,800.00","45,205.00"
16-Apr-26,UPI/610602/CUST,UPI/PhonePe/Customer_H,Credit,95,"45,300.00"
17-Apr-26,NFT/BRIT/221,Britannia Industries - Biscuit Stock,Debit,"4,500.00","40,800.00"
18-Apr-26,UPI/610655/GHRS,GharSe Payout: Order_GS_1099,Credit,"2,200.00","43,000.00"
19-Apr-26,CASH/DEP/002,Cash Deposit: Weekend Sales,Credit,"12,400.00","55,400.00"
20-Apr-26,UPI/610711/CUST,UPI/GPay/Customer_I,Credit,670,"56,070.00"
21-Apr-26,UPI/610744/GHRS,GharSe Payout: Order_GS_1120,Credit,890,"56,960.00"
22-Apr-26,NFT/PARLE/44,Parle-G Distributors Payout,Debit,"3,200.00","53,760.00"
24-Apr-26,UPI/610812/CUST,UPI/Paytm/Customer_J,Credit,150,"53,910.00"
25-Apr-26,UPI/610855/GHRS,GharSe Payout: Order_GS_1155,Credit,"1,450.00","55,360.00"
27-Apr-26,IMPS/STAFF/01,Staff Salary - Raju (Helper),Debit,"12,000.00","43,360.00"
28-Apr-26,UPI/610922/CUST,UPI/PhonePe/Customer_K,Credit,"3,400.00","46,760.00"
29-Apr-26,UPI/610988/GHRS,GharSe Payout: Order_GS_1188,Credit,620,"47,380.00"
30-Apr-26,UPI/611012/CUST,UPI/GPay/Customer_L,Credit,280,"47,660.00"
30-Apr-26,-,CLOSING BALANCE,-,-,"47,660.00"
